,IGHV1-17,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-67,IGHV1-69,IGHV1-69-2,IGHV1-8,IGHV2-10,IGHV2-26,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-20,IGHV3-21,IGHV3-22,IGHV3-23,IGHV3-30,IGHV3-30-3,IGHV3-33,IGHV3-35,IGHV3-38,IGHV3-41,IGHV3-43,IGHV3-43D,IGHV3-48,IGHV3-49,IGHV3-52,IGHV3-53,IGHV3-64,IGHV3-64D,IGHV3-66,IGHV3-69-1,IGHV3-7,IGHV3-71,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3-9,IGHV4-28,IGHV4-30-2,IGHV4-30-4,IGHV4-31,IGHV4-34,IGHV4-38-2,IGHV4-39,IGHV4-4,IGHV4-55,IGHV4-59,IGHV4-61,IGHV4-80,IGHV4/OR15-8,IGHV5-10-1,IGHV5-51,IGHV6-1,IGHV7-4-1,IGHV7-81
IGHV7-4-1,0.7719298245614035,0.9144736842105263,0.9473684210526316,0.8883572567783095,0.9218500797448166,0.9122807017543859,0.7997076023391813,0.8991228070175438,0.7894736842105263,0.8499025341130603,0.8771929824561403,0.9298245614035087,0.5086206896551724,0.47368421052631576,0.4649122807017544,0.44736842105263147,0.543103448275862,0.5689655172413793,0.5625,0.5574712643678161,0.560827680422084,0.5333333333333333,0.5775862068965517,0.5426794799321651,0.543103448275862,0.5603448275862069,0.5344827586206896,0.5388687235329704,0.5333333333333333,0.5787193973634652,0.559322033898305,0.5448275862068965,0.5616760828625236,0.5423728813559322,0.5117410131499348,0.5131430186546071,0.5722222222222223,0.530248033877798,0.5344827586206896,0.557471264367816,0.5333333333333333,0.5258620689655172,0.560344827586207,0.5406061850027366,0.5678160919540229,0.5861334126276142,0.5701754385964912,0.5701754385964912,0.5735206660719596,0.5933830574553144,0.6151419037235272,0.5915956322066936,0.587979482604817,0.5701754385964912,0.5680344930121916,0.5820271016524361,0.6016949152542372,0.6028843294677371,0.4649122807017544,0.46616541353383445,0.46631944444444445,0.0,0.9298245614035088
IGHV3-35,0.530248033877798,0.5196253345227475,0.49129528802850037,0.4452978056426333,0.4783878030978833,0.4827586206896552,0.5456896551724139,0.5458333333333333,0.5573770491803278,0.5185185185185186,0.4666666666666667,0.5170465614650303,0.46551724137931033,0.44166666666666665,0.47544178565133083,0.42607048124289504,0.912280701754386,0.8859649122807017,0.9298245614035088,0.9298245614035089,0.8552631578947368,0.9122807017543859,0.9057017543859649,0.8721804511278196,0.8859649122807017,0.8771929824561404,0.0,0.9298245614035088,0.9122807017543859,0.8947368421052632,0.9210526315789473,0.9052631578947368,0.8947368421052632,0.9122807017543859,0.9030470914127422,0.906578947368421,0.847953216374269,0.9385964912280702,0.8859649122807017,0.9064327485380117,0.9122807017543859,0.9035087719298245,0.9385964912280702,0.9078947368421053,0.8456140350877192,0.4444444444444444,0.45614035087719296,0.45614035087719296,0.45614035087719296,0.4562603088918878,0.4896029246906439,0.442495126705653,0.4658869395711501,0.4649122807017544,0.4798245614035087,0.46616541353383456,0.43859649122807015,0.45614035087719296,0.44781445138269405,0.42109511065800087,0.44117144808743175,0.5344827586206896,0.45614035087719296
IGHV3-52,0.5175438596491229,0.5719223907225691,0.5243879472693033,0.4290271132376395,0.5245492390452248,0.5084745762711864,0.5668582375478927,0.5399717514124294,0.5833333333333334,0.5740083101665022,0.43859649122807015,0.5310734463276836,0.47368421052631576,0.45833333333333337,0.46027356526910496,0.4358353510895884,0.9298245614035089,0.9035087719298245,0.9078947368421053,0.9473684210526315,0.8464912280701754,0.8947368421052632,0.8903508771929824,0.8872180451127818,0.9035087719298245,0.8947368421052632,0.9122807017543859,0.9298245614035088,0.8947368421052632,0.9005847953216374,0.9385964912280702,0.9157894736842105,0.912280701754386,0.0,0.9196675900277008,0.9407894736842105,0.8654970760233919,0.956140350877193,0.8859649122807017,0.9005847953216374,0.8947368421052632,0.9210526315789473,0.956140350877193,0.9254385964912282,0.8631578947368421,0.4619883040935672,0.45614035087719296,0.45614035087719296,0.45614035087719296,0.47553441041398226,0.5012200935483718,0.47563352826510713,0.4969108269732712,0.47368421052631576,0.49824561403508766,0.4837092731829574,0.47368421052631576,0.49122807017543857,0.5128554143980641,0.48120300751879697,0.4388888888888889,0.5423728813559322,0.5254237288135594
IGHV3-33,0.5153137079988106,0.5559210526315789,0.48705107873261316,0.44881207721498106,0.4890313868904413,0.46491228070175433,0.5347752182651844,0.5212090163934426,0.5473360655737705,0.5456993877573884,0.45833333333333337,0.4896904617866505,0.4780701754385965,0.45564516129032256,0.4555272313959585,0.3996944894656509,0.9108187134502922,0.8771929824561404,0.881578947368421,0.9122807017543858,0.8179824561403509,0.8245614035087718,0.8558114035087718,0.9573934837092732,0.9736842105263157,0.0,0.8771929824561404,0.8947368421052632,0.8245614035087718,0.8903508771929823,0.9210526315789473,0.8807017543859649,0.8888888888888888,0.8947368421052632,0.8866574330563248,0.8894736842105263,0.8362573099415206,0.9210526315789473,0.8508771929824561,0.8706140350877192,0.8245614035087718,0.8859649122807017,0.9210526315789473,0.8930921052631579,0.8293859649122807,0.47076023391812855,0.4649122807017544,0.4649122807017544,0.4759868421052631,0.47855750487329424,0.51772165456376,0.4824561403508771,0.4980506822612085,0.4824561403508772,0.5070175438596491,0.4924812030075187,0.48245614035087714,0.5,0.49981094978826374,0.4680451127819548,0.45694444444444454,0.5175438596491229,0.5
IGHV3-30,0.5168568193023543,0.5332080200501254,0.4914093490649844,0.4413425416052372,0.4916134025410412,0.45516134085213034,0.5452771272443403,0.5167642466822796,0.5559142782796179,0.5553421417299864,0.4684251612638152,0.48776791706041067,0.4761515858612047,0.4463933167132533,0.45441933884447155,0.4100547539129666,0.8989139515455304,0.8609022556390977,0.87531328320802,0.9047619047619048,0.8063909774436091,0.8170426065162907,0.8486842105263158,0.0,0.9711779448621555,0.9573934837092731,0.8721804511278196,0.8872180451127818,0.8170426065162907,0.8763575605680869,0.913533834586466,0.875187969924812,0.869674185463659,0.8872180451127818,0.8806226091544651,0.8821428571428572,0.8287385129490393,0.9135338345864661,0.844611528822055,0.8654970760233919,0.8170426065162907,0.8859649122807017,0.9135338345864661,0.8862781954887218,0.8235588972431078,0.482515813342881,0.47833870390261374,0.47607113020646846,0.49106396944742803,0.4910086061715134,0.5223739038275379,0.4946234634204559,0.5071408680431237,0.4945100847356486,0.5084258264709393,0.5009462431589177,0.4931376059195608,0.5094283327366035,0.492978134992654,0.4631524331409638,0.46587301587301577,0.5056904556473151,0.47619047619047616
IGHV3-73,0.5,0.5548245614035088,0.48427330095483523,0.4377990430622009,0.49068134511934686,0.4649122807017544,0.5299329501915709,0.49956140350877193,0.5666666666666667,0.5338531513970112,0.4473684210526316,0.4824561403508772,0.48245614035087714,0.44999999999999996,0.4570498993385102,0.40664585431923506,0.956140350877193,0.9298245614035088,0.9342105263157895,0.9736842105263158,0.8728070175438597,0.8859649122807017,0.9144736842105263,0.9135338345864661,0.9298245614035088,0.9210526315789473,0.9385964912280702,0.9561403508771928,0.8859649122807017,0.9327485380116959,0.9649122807017543,0.9421052631578947,0.9385964912280702,0.956140350877193,0.9459833795013848,0.9493421052631579,0.8918128654970761,0.9824561403508771,0.9122807017543859,0.9298245614035087,0.8859649122807017,0.9473684210526316,0.0,0.9517543859649122,0.8859649122807017,0.47076023391812866,0.4649122807017544,0.46491228070175433,0.47598684210526315,0.47563352826510713,0.4828274389677898,0.48440545808966856,0.49805068226120863,0.4824561403508772,0.5070175438596491,0.4924812030075188,0.48245614035087714,0.5,0.4889594676346037,0.4724310776942356,0.43611111111111106,0.5175438596491229,0.5
IGHV3-72,0.521551724137931,0.5197368421052632,0.5036684143308463,0.47544772537826163,0.5090496617719849,0.4913793103448276,0.5384578544061303,0.5375000000000001,0.5583333333333333,0.5652363062711423,0.4701198129748685,0.5362600722422896,0.4957627118644068,0.4309227921734532,0.47131147540983603,0.4481264637002341,0.9210526315789473,0.912280701754386,0.8991228070175439,0.9385964912280702,0.8552631578947368,0.8508771929824561,0.8859649122807017,0.8859649122807018,0.8947368421052632,0.8859649122807017,0.9035087719298245,0.9210526315789475,0.8508771929824561,0.8918128654970761,0.9298245614035088,0.9175438596491228,0.9035087719298246,0.9210526315789473,0.9145891043397967,0.9151315789473684,0.8567251461988303,0.9473684210526316,0.8947368421052633,0.9122807017543858,0.8508771929824561,0.0,0.9473684210526316,0.9232456140350878,0.850877192982456,0.47134502923976607,0.4916666666666667,0.4519736842105263,0.5018849206349206,0.4609178597835586,0.5153476640318746,0.4317738791423002,0.48401559454191045,0.46951754385964917,0.46622050816696914,0.4511904761904762,0.4298245614035088,0.4473684210526315,0.48676648517846344,0.45931639443436173,0.41944444444444445,0.48245614035087714,0.4649122807017544
IGHV3-71,0.5210526315789474,0.5087719298245614,0.5009107468123861,0.47575757575757577,0.5318181818181817,0.4666666666666667,0.5113026819923372,0.5333333333333333,0.5833333333333334,0.5386939571150098,0.5,0.5166666666666667,0.4827586206896552,0.45,0.4589363714663631,0.4341963121624139,0.8596491228070176,0.8508771929824561,0.868421052631579,0.8771929824561404,0.7938596491228069,1.0,0.868421052631579,0.8170426065162907,0.8333333333333333,0.8245614035087718,0.9122807017543859,0.9035087719298245,1.0,0.8362573099415204,0.868421052631579,0.8666666666666668,0.8421052631578947,0.8947368421052632,0.8845798707294553,0.8552631578947368,0.847953216374269,0.9035087719298245,0.8333333333333333,0.847953216374269,0.0,0.8508771929824561,0.8859649122807017,0.861842105263158,0.8245614035087719,0.43859649122807015,0.43859649122807015,0.43859649122807015,0.45628415300546443,0.45529676682126774,0.5062758168569572,0.4561403508771929,0.46101364522417154,0.4473684210526315,0.4578947368421053,0.4461152882205514,0.45614035087719296,0.45614035087719296,0.4995539696699376,0.46115288220551376,0.4277777777777778,0.5333333333333333,0.45614035087719296
IGHV2-26,0.48684210526315785,0.4780701754385964,0.4941024878580633,0.48160462790257613,0.4872270802397844,0.5042347247428918,0.5302040716929671,0.48684210526315785,0.48245614035087714,0.5448175035289373,0.4954627949183303,0.4883040935672514,0.7807017543859649,0.0,0.9035087719298245,0.8032581453634086,0.45564663023679414,0.44999999999999996,0.4688866120218579,0.4501821493624772,0.4556352459016394,0.45,0.43391596045197744,0.4463933167132533,0.4492993125330513,0.45564516129032256,0.44166666666666665,0.43509887005649717,0.45,0.4453449086315295,0.4544398907103825,0.44737288135593223,0.44722222222222224,0.45833333333333337,0.4417932502787591,0.4509335154826958,0.47500000000000003,0.44166666666666665,0.4627732240437158,0.44189068100358425,0.45,0.4309227921734532,0.44999999999999996,0.4374985528387515,0.43166666666666675,0.6609195402298851,0.6724137931034483,0.6637931034482758,0.665948275862069,0.6477112321032467,0.6467701821603817,0.6685823754789273,0.6356456274786583,0.6551724137931034,0.6032441016333939,0.6300665456745312,0.6724137931034483,0.646551724137931,0.5128749292586304,0.5373619650156398,0.5683060109289617,0.47368421052631576,0.5
IGHV3-38,0.5405550514216576,0.5537280701754386,0.4824225314243462,0.43700159489633167,0.5054206201173195,0.4649122807017544,0.5509578544061302,0.5303319209039548,0.5798022598870056,0.5513970110461339,0.4473684210526316,0.4824561403508772,0.49122807017543857,0.43509887005649717,0.46215225476862476,0.41971454058876,0.9298245614035087,0.9035087719298245,0.9166666666666666,0.9473684210526314,0.8464912280701754,0.9035087719298245,0.9342105263157894,0.8872180451127818,0.9035087719298245,0.894736842105263,0.9298245614035088,0.0,0.9035087719298245,0.9035087719298245,0.9385964912280702,0.9263157894736841,0.912280701754386,0.9298245614035088,0.9385964912280701,0.9236842105263157,0.8830409356725145,0.9649122807017543,0.8859649122807017,0.9005847953216373,0.9035087719298245,0.9210526315789475,0.9561403508771928,0.9287280701754386,0.8850877192982457,0.47660818713450287,0.47368421052631576,0.47368421052631576,0.49221491228070174,0.48148148148148134,0.4915993687923512,0.4970272904483431,0.5033625730994152,0.4868421052631579,0.5085087719298246,0.4924812030075188,0.49122807017543857,0.5,0.504160386354548,0.4837074421881706,0.4444444444444445,0.5175438596491229,0.5
