,IGKV1-12,IGKV1-13,IGKV1-16,IGKV1-17,IGKV1-27,IGKV1-33,IGKV1-37,IGKV1-39,IGKV1-5,IGKV1-6,IGKV1-8,IGKV1-9,IGKV1-NL1,IGKV1/OR2-108,IGKV1D-12,IGKV1D-13,IGKV1D-16,IGKV1D-17,IGKV1D-27,IGKV1D-43,IGKV1D-8,IGKV2-24,IGKV2-26,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2-40,IGKV2D-24,IGKV2D-26,IGKV2D-29,IGKV2D-30,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-7,IGKV3/OR2-268,IGKV3D-11,IGKV3D-15,IGKV3D-20,IGKV4-1,IGKV5-2,IGKV6-21,IGKV6D-21,IGKV6D-41
IGKV2-24,0.7070707070707071,0.6919191919191919,0.6767676767676768,0.7434343434343434,0.6666666666666666,0.696969696969697,0.7196969696969697,0.6666666666666666,0.6848484848484849,0.7281296572280179,0.7666666666666667,0.696969696969697,0.696969696969697,0.6818181818181818,0.706439393939394,0.7318181818181818,0.696969696969697,0.696969696969697,0.6666666666666666,0.6666666666666666,0.7151515151515152,0.0,0.9083333333333333,0.9416666666666667,0.9083333333333333,0.9416666666666667,0.932142857142857,0.9916666666666667,0.9083333333333333,0.8999999999999999,0.9416666666666667,0.6506147540983607,0.6475409836065573,0.6371584699453551,0.6557377049180327,0.64433868029849,0.6437158469945354,0.651639344262295,0.6181010928961748,0.55,0.5833333333333334,0.6458333333333333,0.65,0.6166666666666667
IGKV1-33,0.9242424242424242,0.9444444444444445,0.9090909090909091,0.8787878787878789,0.9242424242424243,0.0,0.9318181818181819,0.9393939393939394,0.9484848484848485,0.912878787878788,0.8787878787878788,0.9696969696969697,0.946969696969697,0.9393939393939394,0.9128787878787878,0.9090909090909092,0.9166666666666666,0.9545454545454546,0.9292929292929294,0.9242424242424242,0.9343434343434344,0.696969696969697,0.696969696969697,0.7424242424242424,0.7045454545454546,0.7424242424242424,0.7142857142857143,0.696969696969697,0.696969696969697,0.696969696969697,0.7424242424242424,0.6590909090909091,0.6477272727272727,0.6565656565656566,0.6515151515151515,0.6510126136991808,0.6590909090909091,0.6401515151515151,0.6477272727272727,0.5909090909090909,0.6119402985074627,0.588647670737223,0.5939620081411126,0.6417910447761194
IGKV1D-17,0.9696969696969697,0.9595959595959597,0.9444444444444445,0.9242424242424243,0.9242424242424243,0.9545454545454546,0.9621212121212122,0.9545454545454546,0.9636363636363636,0.9280303030303031,0.8939393939393939,0.9848484848484849,0.9621212121212122,0.9545454545454546,0.9583333333333334,0.9242424242424243,0.9621212121212122,0.0,0.9343434343434343,0.9696969696969697,0.9494949494949495,0.696969696969697,0.696969696969697,0.7121212121212122,0.7045454545454546,0.7424242424242424,0.70995670995671,0.696969696969697,0.696969696969697,0.696969696969697,0.7424242424242424,0.6590909090909091,0.6477272727272727,0.6565656565656566,0.6515151515151515,0.6510126136991808,0.6590909090909091,0.6401515151515151,0.6477272727272727,0.5757575757575758,0.5970149253731343,0.6037426503844414,0.6090004522840344,0.6716417910447762
IGKV1D-16,0.9444444444444445,0.9217171717171716,0.9545454545454546,0.8926767676767676,0.8901515151515151,0.9166666666666666,0.9242424242424243,0.9166666666666666,0.9287878787878789,0.8901515151515152,0.8560606060606061,0.946969696969697,0.9285037878787878,0.9166666666666666,0.9356060606060607,0.8863636363636365,0.0,0.9621212121212122,0.8989898989898988,0.9318181818181819,0.9116161616161617,0.696969696969697,0.6742424242424243,0.6893939393939394,0.6818181818181819,0.7196969696969697,0.6872294372294373,0.696969696969697,0.6742424242424243,0.6742424242424243,0.7196969696969697,0.6330492424242424,0.6202651515151515,0.6300505050505051,0.625,0.6241708126036484,0.6338383838383839,0.6141098484848485,0.6221590909090909,0.5227272727272727,0.569708276797829,0.5822525075158964,0.5887474392742171,0.6492537313432836
IGKV2-28,0.7222222222222223,0.7070707070707071,0.6717171717171717,0.7595959595959596,0.6818181818181818,0.7424242424242424,0.7348484848484849,0.6818181818181818,0.7,0.7393939393939394,0.7833333333333333,0.7121212121212122,0.7121212121212122,0.696969696969697,0.7196969696969697,0.7477272727272728,0.6893939393939394,0.7121212121212122,0.6818181818181818,0.6818181818181818,0.7308080808080808,0.9416666666666667,0.9333333333333333,0.0,0.9333333333333333,0.9583333333333333,0.9595238095238097,0.95,0.9333333333333333,0.925,0.9666666666666667,0.6331967213114755,0.6311475409836066,0.6206739526411659,0.639344262295082,0.6280039955344027,0.6272768670309654,0.6352459016393444,0.6015027322404372,0.5833333333333334,0.6166666666666667,0.6291666666666667,0.6333333333333333,0.6333333333333333
IGKV2-29,0.7374114277099353,0.6994949494949495,0.6656867179255238,0.7515151515151515,0.6742424242424243,0.7045454545454546,0.7121212121212122,0.6742424242424242,0.6993215739484396,0.7406948584202683,0.775,0.7045454545454546,0.7045454545454546,0.6893939393939394,0.746268656716418,0.7397727272727272,0.690326775214835,0.7045454545454546,0.6742424242424242,0.6742424242424242,0.722979797979798,0.9083333333333333,0.95,0.9333333333333333,0.0,0.925,0.9380952380952378,0.9166666666666667,0.95,0.9833333333333334,0.9333333333333333,0.6342213114754098,0.6311475409836066,0.6206739526411659,0.639344262295082,0.6280039955344028,0.6259107468123862,0.6352459016393444,0.6015027322404372,0.55,0.6333333333333333,0.6125,0.6166666666666667,0.6166666666666667
IGKV1D-13,0.8939393939393939,0.9444444444444445,0.8686868686868686,0.9075757575757576,0.8787878787878789,0.9090909090909092,0.9015151515151516,0.9090909090909092,0.9181818181818183,0.9291666666666667,0.9386363636363636,0.9393939393939394,0.9166666666666667,0.9166666666666667,0.8825757575757576,0.0,0.8863636363636365,0.9242424242424243,0.8888888888888888,0.893939393939394,0.9340909090909092,0.7318181818181819,0.7318181818181819,0.7477272727272728,0.7397727272727272,0.7795454545454545,0.7454545454545455,0.7318181818181819,0.7318181818181819,0.7318181818181819,0.7795454545454545,0.6753787878787878,0.6634469696969697,0.669949494949495,0.6674242424242425,0.6668390330183822,0.673989898989899,0.6554924242424243,0.6571969696969697,0.5643939393939394,0.591044776119403,0.6490021483491633,0.6536861148801447,0.7203327624174211
IGKV1-39,0.9242424242424242,0.9444444444444445,0.8989898989898989,0.8787878787878789,0.9090909090909091,0.9393939393939394,0.9318181818181819,0.0,0.9484848484848485,0.912878787878788,0.8787878787878788,0.9696969696969697,0.946969696969697,0.9696969696969697,0.9128787878787878,0.9090909090909092,0.9166666666666666,0.9545454545454546,0.9393939393939394,0.9242424242424242,0.9343434343434344,0.6666666666666666,0.6666666666666666,0.6818181818181818,0.6742424242424242,0.7121212121212122,0.6796536796536795,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7121212121212122,0.6723484848484849,0.6628787878787878,0.6717171717171717,0.6666666666666666,0.6661138750690989,0.6742424242424242,0.6553030303030303,0.6628787878787878,0.5454545454545454,0.582089552238806,0.5735526910900045,0.5789235639981909,0.6567164179104478
IGKV2-40,0.7207792207792207,0.704906204906205,0.6608946608946611,0.7580808080808081,0.6818181818181819,0.7142857142857143,0.7305194805194806,0.6796536796536795,0.7023195709762873,0.7443031012703143,0.780952380952381,0.70995670995671,0.7099567099567101,0.6948051948051949,0.7196969696969696,0.7454545454545455,0.6872294372294371,0.70995670995671,0.6810966810966811,0.6796536796536795,0.7285714285714286,0.9321428571428569,0.9404761904761906,0.9595238095238097,0.9380952380952378,0.9488095238095238,0.0,0.9380952380952382,0.9404761904761906,0.9297619047619048,0.9547619047619048,0.6413934426229508,0.6311475409836066,0.6238225344782723,0.639344262295082,0.6305893413244023,0.6315833983866771,0.6352459016393442,0.6062451209992193,0.5523809523809523,0.6071428571428571,0.6315476190476189,0.6357142857142856,0.6357142857142856
IGKV5-2,0.6019900497512437,0.572139303482587,0.5505050505050505,0.6466030503221597,0.6217209407507915,0.6119402985074627,0.5895522388059702,0.582089552238806,0.5850746268656717,0.6181795938341081,0.6557377049180327,0.5970149253731343,0.5970149253731343,0.582089552238806,0.5970149253731343,0.610716907266944,0.569708276797829,0.5970149253731343,0.6100557816975728,0.5671641791044776,0.6116140608433244,0.5833333333333334,0.6166666666666667,0.6166666666666667,0.6333333333333333,0.5833333333333334,0.6071428571428571,0.5833333333333334,0.6166666666666667,0.625,0.5833333333333334,0.6541666666666667,0.6375,0.6555555555555556,0.65,0.6402550091074681,0.6527777777777778,0.6354166666666666,0.6416666666666666,0.6,0.0,0.5583333333333333,0.5583333333333333,0.6721311475409836
