,index,geneO,geneH,vGeneIden,utrIden
159,1333,IGHV1-25*01,IGHV4-31*02,0.5244215938303342,0.407469654528478
160,1334,IGHV1-25*01,IGHV4-31*03,0.5244215938303342,0.3790717528732975
161,1343,IGHV1-25*01,IGHV4-31*12,0.5244215938303342,0.407469654528478
162,1344,IGHV1-25*01,IGHV4-31*13,0.5244215938303342,0.3960431019254549
163,1345,IGHV1-25*01,IGHV4-34*01,0.5207253886010362,0.39759334997345336
164,1346,IGHV1-25*01,IGHV4-34*02,0.5167958656330749,0.392944495687985
165,1358,IGHV1-25*01,IGHV4-38-2*01,0.53125,0.37929315870492347
166,1359,IGHV1-25*01,IGHV4-38-2*02,0.5364583333333334,0.35782350978429417
167,1360,IGHV1-25*01,IGHV4-38-2*03,0.5324675324675324,0.38382920735861914
168,1361,IGHV1-25*01,IGHV4-39*01,0.5205128205128206,0.3729491935374289
169,1362,IGHV1-25*01,IGHV4-39*02,0.5244215938303342,0.3780250839074369
170,1367,IGHV1-25*01,IGHV4-39*07,0.5244215938303342,0.3869757605051723
171,1368,IGHV1-25*01,IGHV4-39*08,0.5189873417721519,0.35829386809778974
172,1369,IGHV1-25*01,IGHV4-4*01,0.5284974093264249,0.4117925975511114
173,1370,IGHV1-25*01,IGHV4-4*02,0.5284974093264249,0.41274187597871664
174,1371,IGHV1-25*01,IGHV4-4*03,0.5298701298701298,0.41311573419674313
175,1374,IGHV1-25*01,IGHV4-4*07,0.5207253886010362,0.40991758857599914
176,1375,IGHV1-25*01,IGHV4-4*08,0.5246753246753246,0.40562328336322145
177,1377,IGHV1-25*01,IGHV4-55*01,0.524547803617571,0.40705977979600805
178,1378,IGHV1-25*01,IGHV4-55*02,0.524547803617571,0.4177061677061677
179,1386,IGHV1-25*01,IGHV4-59*01,0.5286458333333334,0.37167558331241196
180,1387,IGHV1-25*01,IGHV4-59*02,0.5286458333333334,0.3872237418273224
181,1390,IGHV1-25*01,IGHV4-59*05,0.5275590551181102,0.3780250839074369
182,1393,IGHV1-25*01,IGHV4-59*08,0.5207253886010362,0.39830755124872774
183,1394,IGHV1-25*01,IGHV4-59*09,0.5207253886010362,0.41153533877319043
184,1396,IGHV1-25*01,IGHV4-59*11,0.5286458333333334,0.39384594678712326
185,1397,IGHV1-25*01,IGHV4-59*12,0.5246753246753246,0.4123228065952524
186,1398,IGHV1-25*01,IGHV4-59*13,0.5286458333333334,0.4086279556867793
187,1399,IGHV1-25*01,IGHV4-61*01,0.5283505154639175,0.3523095432261731
188,1400,IGHV1-25*01,IGHV4-61*02,0.5205128205128206,0.4017563782269664
189,1401,IGHV1-25*01,IGHV4-61*03,0.5283505154639175,0.3960431019254549
190,1406,IGHV1-25*01,IGHV4-61*08,0.5244215938303342,0.4118357830542705
