	Healthy_00330	Healthy_00334	Healthy_00335	Healthy_00339	Healthy_00347	Healthy_00686	Healthy_00687	Healthy_00688	Healthy_00689	Healthy_00690	Healthy_00692	Healthy_00693	Healthy_00694	Healthy_00696	Healthy_00697	Healthy_00698	Healthy_00699	Healthy_00701	Healthy_00702	Healthy_00703	Healthy_00704	Healthy_00705	Healthy_00706	Healthy_00708	Healthy_00709	Healthy_00770	Healthy_00771	Healthy_00772	Healthy_00773	Healthy_00774	Healthy_00775	Healthy_00776	Healthy_00777	Healthy_00778	Healthy_00779	Healthy_00780	Healthy_00781	Healthy_00782	Healthy_00783	Healthy_00784	Healthy_00785	Healthy_00786	Healthy_00787	Healthy_00788	Healthy_00789	Healthy_00790	Healthy_00791	Healthy_00792	Healthy_00793	Healthy_00856	Healthy_00857	Healthy_00858	Healthy_00859	Healthy_00860	Healthy_00862	Healthy_00863	Healthy_00864	Healthy_00865	Healthy_00866	Healthy_00867	Healthy_01005	Healthy_01009	Healthy_01020	Healthy_01021	Healthy_01024
IGLV1-36	0.29579308378000896	0.9428140427866155	0.7985265670864916	0.2585228325344669	0.6260317672779191	0.44742729306487694	0.21834061135371177	0.33333333333333337	0.45910559428668596	0.8116883116883116	0.5138911193190943	0.6280530355896721	0.36918946131901326	0.8872206108172668	0.44860292232760834	1.1989100817438691	0.8238157648380453	0.42643923240938164	0.24509803921568626	1.0306242638398115	0.4153686396677051	0.9675583380762665	0.4090150250417362	0.5312084993359893	0.37523452157598497	0.628930817610063	1.0218978102189782	0.4349280695884911	0.996389891696751	3.4902367701160264	0.8179339594062406	0.2928135196185058	0.5023322569070686	1.1972930765226444	0.5784906652642651	1.2515337423312882	0.3805991997657851	0.6280122681466336	0.441696113074205	0.48204906827829336	0.4608294930875576	1.1780104712041886	0.4597079502433748	0.31779661016949157	0.065359477124183	0.4910557699052964	1.0362694300518136	0.8009153318077803	0.8008008008008007	0.830860534124629	0.423728813559322	0.7294150652265394	0.17978297626436657	0.2210338680926916	0.2751031636863824	0.11560693641618498	0.4052684903748734	0.5432937181663837	0.35151672959250096	0.13635124079629124	0.6218486045540675	0.49898167006109984	0.46684074661445374	0.29824527537015233	1.0362497954543497
IGLV1-40	4.777661589311961	7.624794295117937	7.9354672418927406	5.1305413990211495	7.297940927140499	7.38255033557047	6.6593886462882095	4.083333333333333	6.002380547525931	2.857142857142857	4.014774369680424	9.769713886950454	7.40057056553113	7.763180344651083	3.268392719815432	5.5040871934604905	4.980340760157274	9.594882729211088	8.700980392156863	9.86454652532391	5.867082035306334	4.040978941377348	6.026711185308848	6.872509960159362	9.75609756097561	7.337526205450734	6.0583941605839415	6.60756105720977	3.436823104693141	3.443071408357702	6.634353226295062	7.077721074207312	10.90778614998206	7.027589796980739	9.098080462792533	4.269938650306749	7.992583195081488	8.79217175405287	9.231448763250883	7.799122239010001	8.294930875576037	7.2643979057591626	6.246619794483505	5.905720338983051	6.287581699346405	7.260610312171167	9.03497409326425	7.201881515382659	7.707707707707708	4.985163204747774	8.177966101694915	14.097348856782158	4.858420906191811	4.216280451574569	8.688674919761578	2.5433526011560694	9.23885511651469	3.6219581211092247	6.26220544199974	7.0902645214071445	7.8544015158814275	6.257637474541751	5.86312619583498	7.618698310357094	5.417574562272309
IGLV1-41	0.007678188824944608	0.011142347778387273	0.011010707913445826	0.027957518046072646	0.02370276179003257	0.0	0.10917030567685589	0.33333333333333337	0.0	0.42207792207792205	0.06423638991488678	0.0	0.0	0.05118580447022693	0.0	0.018165304268846504	0.01872308556450103	0.0	0.0	0.029446407538280327	0.10384215991692627	0.0	0.01669449081803005	0.033200531208499334	0.18761726078799248	0.0	0.0	0.0	0.11552346570397112	0.03773228940665975	0.0	0.03346440224211495	0.03588087549336204	0.0	0.0	0.0	0.05855372304089002	0.04381480940557909	0.044169611307420496	0.007194762213108857	0.0837871805613741	0.06544502617801047	0.0	0.026483050847457626	0.0392156862745098	0.0	0.032383419689119175	0.05085176709890668	0.033366700033366704	0.17804154302670622	0.0423728813559322	0.014027212792818067	0.00856109410782698	0.011883541295306001	0.0	0.0	0.018996960486322188	0.022637238256932656	0.01301913813305559	0.02727024815925825	0.04436040723255291	0.07128309572301426	0.022986490888915717	0.016270431111270446	0.02170337005107182
IGLV1-44	5.342556910004315	9.518993417443774	8.05158016170726	8.398876309877087	7.1088765448623565	5.033557046979865	5.131004366812228	6.333333333333334	7.668763815677606	9.772727272727273	5.39585675285049	4.117236566643405	6.427252894781003	7.916737758061765	7.331453473468342	11.42597638510445	8.762404044186482	4.371002132196162	6.495098039215687	6.507656065959953	8.618899273104882	6.9436539556061465	5.851419031719533	4.4488711819389115	5.816135084427768	3.7037037037037033	3.686131386861314	2.3084643693542994	2.859205776173285	24.327893594943873	4.059375946682824	4.475863799882875	3.0857552924291354	1.8740239458615304	3.6024191427820145	2.8711656441717794	2.6544354445203475	3.5636044983204322	1.9434628975265018	2.8419310741779986	3.3514872224549643	3.7958115183246073	1.59545700378583	3.3633474576271185	2.823529411764706	1.8940722553490004	2.2344559585492227	2.059496567505721	3.2699366032699366	2.433234421364985	2.754237288135593	3.2402861551409736	0.8753718725253088	1.1954842543077837	1.3067400275103165	2.1098265895953756	1.8933637284701113	6.112054329371817	1.4581434709022263	1.2544314153258795	7.148850242476796	7.158859470468432	4.50245823156161	7.529762479282777	6.0926182704481056
IGLV1-47	12.637201921740973	8.526467361492045	6.160240834211271	9.743026620272905	7.166599741221614	3.6353467561521255	4.366812227074235	4.416666666666667	6.359462676415576	8.084415584415584	4.625020073871848	4.047452896022331	5.957375398556805	6.893021668657226	5.601127915918995	7.302452316076294	4.343755850964239	5.721393034825871	6.25	5.624263839811543	6.334371754932502	5.577689243027888	19.69949916527546	3.9840637450199203	5.628517823639775	8.385744234800839	7.2992700729927	7.075945132151221	4.534296028880867	12.272427129516084	5.362011511663132	6.851836359073037	6.8891280947255105	4.060385216033316	6.284512227189061	6.429447852760736	4.655020981750757	6.2947276179348615	4.902826855123675	6.5904021872077125	6.82865521575199	5.890052356020942	3.9480800432666308	5.24364406779661	6.980392156862745	4.945633111189056	5.051813471502591	5.333079074497839	9.576242909576244	3.9762611275964392	5.5508474576271185	8.023565717491934	2.8080388673672494	2.7688651218062983	2.361302154974782	5.606936416184971	3.0775075987841944	5.036785512167516	2.6819424554094518	3.2997000272702484	8.776335228185117	7.209775967413442	5.027095946274452	8.54887058388786	6.772140451809045
IGLV1-50	0.009871957060643066	0.029998628634119583	0.0375365042503835	0.028631193179712945	0.021750769642618125	0.0	0.0	0.0	0.0	0.032467532467532464	0.0	0.0	0.0	0.0	0.01281722635221738	0.03633060853769301	0.01872308556450103	0.0	0.0	0.029446407538280327	0.0	0.0	0.01669449081803005	0.033200531208499334	0.0	0.0	0.0364963503649635	0.01672800267648043	0.07220216606498195	0.03773228940665975	0.030293850348379277	0.03346440224211495	0.07176175098672408	0.10411244143675169	0.1051801209571391	0.0	0.05855372304089002	0.02920987293705272	0.13250883392226148	0.03597381106554429	0.0	0.06544502617801047	0.027041644131963225	0.026483050847457626	0.065359477124183	0.0526131182041389	0.06476683937823835	0.03813882532418002	0.033366700033366704	0.0	0.0847457627118644	0.028054425585636134	0.002140273526956745	0.007130124777183601	0.0	0.0	0.0	0.022637238256932656	0.02603827626611118	0.0	0.017262420914025113	0.0050916496945010185	0.008681947997612051	0.0024819301695158304	0.012832548165117861
IGLV1-51	2.6712784550021573	1.058523038946791	1.8885866505176283	2.980844047574938	3.823394904742783	2.684563758389262	1.6375545851528384	1.7500000000000002	1.6833871790511818	2.24025974025974	0.8190139714148065	0.8374040474528961	2.181574089612351	1.8768128305749872	1.6790566521404766	2.5976385104450497	1.5727391874180863	2.6297085998578535	1.4705882352941175	2.1201413427561837	3.115264797507788	1.2521343198634036	2.7545909849749584	1.7264276228419653	1.3133208255159476	2.4458420684835778	1.9708029197080292	1.2546002007360322	1.5306859205776173	4.9240637675690975	2.0902756740381703	2.710616581611311	2.6910656620021527	2.342529932326913	1.5251117538785168	1.9386503067484664	2.4104615985166387	1.4020739009785308	2.6060070671378095	2.683646305489604	2.7230833682446587	2.486910994764398	0.9734991887506761	2.065677966101695	11.30718954248366	1.8414591371448616	1.5544041450777202	1.8942283244342741	2.3023023023023024	2.0178041543026706	2.5	2.552952728292888	4.216338848104788	0.25430778371954843	0.7336084364970197	0.9826589595375723	1.07016210739615	2.4787775891341255	1.0805884650436142	0.6817562039814562	1.9675145325496994	1.8279022403258653	2.297160754949124	2.3725873570477165	2.8067108198189663
IGLV1-62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020072582458168737	0.0	0.0	0.00013788500941754614	0.0
IGLV10-54	6.464669362564076	2.1809003017004938	1.2299461226042327	1.200994344497253	0.18125641368848436	0.8948545861297539	0.6550218340611353	0.08333333333333334	3.3497704472028564	1.0389610389610389	2.8103420587762966	0.34891835310537334	3.356267830172848	3.4123869646817946	1.281722635221738	0.9445958219800182	1.27316981838607	1.4214641080312722	1.1029411764705883	1.5901060070671376	1.505711318795431	1.935116676152533	0.5425709515859767	2.8552456839309426	0.37523452157598497	1.187980433263452	0.25547445255474455	0.468384074941452	1.6317689530685922	1.8866144703329875	1.2723417146319298	0.2760813184974483	0.2870470039468963	1.978136387298282	1.183276360767815	0.26993865030674846	2.0493803064311504	2.541258945523587	0.26501766784452296	0.5180228793438377	1.1311269375785507	1.7015706806282722	1.919956733369389	1.694915254237288	0.3137254901960784	0.7716590669940372	0.3238341968911917	0.13348588863463007	0.46713380046713376	0.05934718100890207	0.0847457627118644	0.4769252349558143	1.065856216424459	0.21390374331550802	0.05731315910132966	0.05780346820809249	0.1899696048632219	0.6451612903225806	0.6509569066527796	0.19089173711480775	0.8932299193885088	0.0560081466395112	0.6766958324995906	0.21744465985147027	0.7950151148469999
IGLV10-67	0.0	0.0	0.0	0.0	0.00027885602105920675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011318619128466328	0.0	0.0	0.00020072582458168737	0.0	0.0	0.0	0.0
